id,product_id,title,price,total_sales,monthly_sales,weekly_sales,daily_sales_tag,hot_sales,grabbed_sales,daily_increment,product_url,monitor_date,scrape_time
495,255940946220,安吉尔净水器2025新款魔方2代家用RO反渗透直饮机厨房专用自来水,2997.0,,,,,,10000,,https://mobile.yangkeduo.com/goods.html?goods_id=255940946220,2026-04-08,2026-04-08 16:19:35
496,830737139718,安吉尔J1205RO反渗透过滤母婴直饮机除垢净水器管线机两件套装,1859.0,,,,,,22,,https://mobile.yangkeduo.com/goods.html?goods_id=830737139718,2026-04-08,2026-04-08 16:19:35
497,890489201045,安吉尔净水器E-TECH3800家用3617即热管线机套装饮水机1500G流速,1899.0,,,,,,3,,https://mobile.yangkeduo.com/goods.html?goods_id=890489201045,2026-04-08,2026-04-08 16:19:35
498,761748176682,安吉尔净水器魔方1300母婴直饮厨下式自来水过滤净水纯水机400G,939.0,,,,,,59,,https://mobile.yangkeduo.com/goods.html?goods_id=761748176682,2026-04-08,2026-04-08 16:19:35
501,723053416812,小米净水器N1/S1 1200G家用净饮机5年RO反渗透净水器厨房台下,947.0,4048,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=723053416812,2026-04-08,2026-04-08 16:19:43
502,648892853552,米家小米净水器家用净水机800G 升级款 双芯过滤 5年长效RO反渗透,811.0,15000,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=648892853552,2026-04-08,2026-04-08 16:19:43
503,714877112304,小米米家前置过滤器/PRO全屋大流量自来水反冲洗净水器家用滤水器,284.0,6751,259,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=714877112304,2026-04-08,2026-04-08 16:19:43
504,911627852325,"米家净水器 2 1200G 母婴级健康水,畅享鲜活大流量",1424.0,,,,,,117,,https://mobile.yangkeduo.com/goods.html?goods_id=911627852325,2026-04-08,2026-04-08 16:19:43
505,926712475871,小米/米家净水器PRO双出水1200G直饮净水器家用双龙头母婴净水机,1459.0,2311,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=926712475871,2026-04-08,2026-04-08 16:19:43
506,878626118056,小米米家净水器1600GPRO双出水家用厨下式净饮一体机直饮纯净水机,1799.0,2590,264,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=878626118056,2026-04-08,2026-04-08 16:19:43
507,917548710781,小米米家即热净水器Q1000大通量反渗透厨下式自来水过滤净饮水机,1735.0,4424,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=917548710781,2026-04-08,2026-04-08 16:19:43
508,861519766493,小米米家净水器1600G家用厨下式RO反渗透净水纯水大通量净水器,1351.0,1186,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=861519766493,2026-04-08,2026-04-08 16:19:43
509,923182431536,小米米家水龙头净水器2水龙头过滤器家用自来水滤水器前置过滤器,91.0,16000,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=923182431536,2026-04-08,2026-04-08 16:19:43
510,793802267792,小米米家即热净水器1200G家用厨下大通量速热净水机RO反渗透过滤,2027.0,1225,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=793802267792,2026-04-08,2026-04-08 16:19:43
511,913185603260,小米米家净水器1000G 家用厨下式反渗透自来水过滤器纯净直饮水机,949.0,11000,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=913185603260,2026-04-08,2026-04-08 16:19:43
512,846161125509,小米净水器S1 1600G母婴级厨下式家用反渗透RO过滤直饮机饮水机,1554.9,551,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=846161125509,2026-04-08,2026-04-08 16:19:43
513,920039226801,小米米家净水器N1 800G家用厨房直饮RO反渗透自来水过滤器净水机,815.0,13000,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=920039226801,2026-04-08,2026-04-08 16:19:43
514,868834757011,小米米家净水器1000G套装家用厨下式反渗透自来水过滤器净饮水机,942.0,1097,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=868834757011,2026-04-08,2026-04-08 16:19:43
515,723055345400,米家小米富矿净水器1200G家用净饮机厨下5年长效RO反渗透直饮,1859.0,117,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=723055345400,2026-04-08,2026-04-08 16:19:43
516,927184977767,小米米家净水器1000G PLUS家用厨房直饮反渗透自来水过滤器净水机,1034.0,1343,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=927184977767,2026-04-08,2026-04-08 16:19:43
517,804711707568,小米米家净水器N1 1600G+管线机套装家用直饮自来水RO净水机,2448.0,403,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=804711707568,2026-04-08,2026-04-08 16:19:43
518,927408924021,小米净水器PRO 双出水1200G RO过滤净饮一体净水机厨下母婴级认证,1759.0,2311,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=927408924021,2026-04-08,2026-04-08 16:19:43
527,840331094690,海尔前置过滤器可视化网智能自动反冲洗家用中央全屋净水器Z26,442.0,,286,,,,10000,,https://mobile.yangkeduo.com/goods.html?goods_id=840331094690,2026-04-08,2026-04-08 16:19:50
528,921627872916,海尔管线机HGRZ2318厨房家用壁挂式即热直饮超薄四档控温全新正品,479.0,900,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=921627872916,2026-04-08,2026-04-08 16:19:50
529,916386370228,海尔净水器1200G厨下家用净水机RO反渗透纯水机直饮管线机套装,1247.0,,,,,,71,,https://mobile.yangkeduo.com/goods.html?goods_id=916386370228,2026-04-08,2026-04-08 16:19:50
530,701564854246,海尔全屋前置过滤器家用自来水净水器全自动刮洗磁吸大通量净水机,339.0,22000,303,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=701564854246,2026-04-08,2026-04-08 16:19:50
531,722501701976,海尔家用厨下鲜活净水器1200G净水机通量直饮RO反渗透前置套装,909.0,,,,,,8958,,https://mobile.yangkeduo.com/goods.html?goods_id=722501701976,2026-04-08,2026-04-08 16:19:50
532,816503125802,海尔净水器家用鲜活水PRO抑菌瞬时1400G反渗透智能直饮双出水套装,1019.0,,,,,,66000,,https://mobile.yangkeduo.com/goods.html?goods_id=816503125802,2026-04-08,2026-04-08 16:19:50
533,743388902486,海尔新款净水器家用直饮净水机通量RO鲜活水反渗透直饮管线机套装,1684.0,1795,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=743388902486,2026-04-08,2026-04-08 16:19:50
534,212162612478,海尔家用600G母婴净水器自来水净水机智能灯显龙头反渗透纯水机,789.62,856,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=212162612478,2026-04-08,2026-04-08 16:19:50
535,2349947633,海尔炫彩触控家用温热款高端管线机净水器伴侣触控抑菌壁挂饮水机,909.0,495,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=2349947633,2026-04-08,2026-04-08 16:19:50
536,201255739108,海尔净水器家用厨房自来水过滤器直饮净化RO反渗透纯水机全屋套餐,1308.0,,,,,,6833,,https://mobile.yangkeduo.com/goods.html?goods_id=201255739108,2026-04-08,2026-04-08 16:19:50
537,913760831003,海尔净水器家用600G大流量RO反渗透直饮机HKC1560-R320U1净水机,727.0,,,,,,8,,https://mobile.yangkeduo.com/goods.html?goods_id=913760831003,2026-04-08,2026-04-08 16:19:50
538,920928927606,海尔小轻芯 鲜活水 家用反渗透RO膜净水机 HKC1560-R360U1,843.0,,,,,,4,,https://mobile.yangkeduo.com/goods.html?goods_id=920928927606,2026-04-08,2026-04-08 16:19:50
539,292736984563,小熊净水器水龙头过滤器家用非直饮厨房前置净水自来水滤水器0031,29.8,,,,400,,100000,,https://mobile.yangkeduo.com/goods.html?goods_id=292736984563,2026-04-08,2026-04-08 16:19:58
542,896535224187,飞利浦净水器水龙头过滤器自来水家用滤水器厨浴非直饮前置净水器,98.0,2614,,,100,,,,https://mobile.yangkeduo.com/goods.html?goods_id=896535224187,2026-04-08,2026-04-08 16:19:58
546,845471041965,【官方正品】海尔净水器HKC3000-R889鲜活水PROMAX直饮机1400G,1829.0,1226,,100,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=845471041965,2026-04-08,2026-04-08 16:19:58
547,852161740747,VIOMI云米净水器小海豚600G+升级版厨下式RO反渗透直饮家用,558.9,5631,,,40,,,,https://mobile.yangkeduo.com/goods.html?goods_id=852161740747,2026-04-08,2026-04-08 16:19:58
549,919625297522,小米米家龙头净水器2家用水龙头过滤器净化自来水净水机厨房滤水,90.9,,,,70,,916,,https://mobile.yangkeduo.com/goods.html?goods_id=919625297522,2026-04-08,2026-04-08 16:19:58
550,854824820292,海尔净水器家用直饮鲜活水1400G过滤加热净饮管线机HKC3000-R881,1169.0,,,,30,,20000,,https://mobile.yangkeduo.com/goods.html?goods_id=854824820292,2026-04-08,2026-04-08 16:19:58
551,353140007622,美的家用净水器 6年长效陶氏RO反渗透过滤膜1200GPRO厨下式净水器,1839.0,13000,,100,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=353140007622,2026-04-08,2026-04-08 16:19:58
552,925797846179,海尔净水器厨下直饮家用1400GRO反渗透纯水机鲜活水PROMAX889,1549.0,,,100,,,2314,,https://mobile.yangkeduo.com/goods.html?goods_id=925797846179,2026-04-08,2026-04-08 16:19:58
555,606802504189,美的出品超滤家用净水器厨下式净水机不插电无废水保留矿物质,380.0,,,,30,,506000,,https://mobile.yangkeduo.com/goods.html?goods_id=606802504189,2026-04-08,2026-04-08 16:19:58
560,635594987496,艾美特前置花洒沐浴淋浴家用阻垢除氯龙头浴室净水器滤水器过滤器,27.3,,,,100,,,,https://mobile.yangkeduo.com/goods.html?goods_id=635594987496,2026-04-08,2026-04-08 16:19:58
561,794044940174,小米米家净水器N1 800G家用厨房直饮RO反渗透自来水过滤器净水机,815.0,,,,50,,,,https://mobile.yangkeduo.com/goods.html?goods_id=794044940174,2026-04-08,2026-04-08 16:19:58
565,626312797718,美的北极星超滤净水器家用式厨下不插电无废水厨下过滤保留矿物质,539.0,,,200,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=626312797718,2026-04-08,2026-04-08 16:19:58
