日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台助推总成交,平台助推直接成交,平台助推点击
2025-09-17,608854445255,商品,云米燃气热水器家用洗澡16升恒温零冷水天然气热水器Zero,310,3,12.31,0.00968,4.10,39.71,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,2,35,3,2,0.66667,0,0,0.1129,32,12,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,606905855126,商品,云米Air电热水器扁桶双胆家用小户型速热储水式洗澡即热智控60升,690,5,9.94,0.00725,1.99,14.41,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,11,4,3,0.75,0,0,0.01594,4,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,604198801818,商品,【旗舰爆款】云米厨房垃圾处理器家用厨余垃圾粉碎机厨余搅碎机,250,21,95.55,0.084,4.55,382.20,0.00,0,0.00,0,0.00,0,899.00,0.00,899.00,1,1,0,0.04762,9.41,95.55,0,0,0,0,0,0,,0,,0,,0,,0,,1,3999.00,0,0,0,0,0.00,0,29,21,20,0.95238,0,0,0.116,6,1,1,1,0,0.00,0,1,1,899.00,0.00,0,0.00,0.00,0
2025-09-17,578994373748,商品,云米电热水器1A热水器洗澡家用60升速热一级能效节能省电电热水器,488,11,18.64,0.02254,1.69,38.20,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,18,10,7,0.7,0,0,0.03689,4,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-16,968448838463,商品,云米鲲鹏净热净水器直饮家用净水加热一体MR1051R复合一体芯RO膜,1460,80,48.84,0.05479,0.61,33.45,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,1,0,1,0.0125,1,0,,2,24.42,2,24.42,1,48.84,0.0125,48.84,0,0.00,0,1,0,0,0.00,1,147,76,69,0.90789,0,0,0.10068,40,2,0,,0,0.00,0,0,,,0.00,32,0.00,0.00,0
2025-09-16,962045858112,商品,[政府补贴]云米白富镁净水器昆仑4Pro弱碱反渗透RO膜直饮弱碱矿泉,7520,185,744.94,0.0246,4.03,99.06,0.00,0,0.00,0,0.00,0,0.00,199.00,199.00,1,0,1,0.00541,0.27,744.94,22,19,3,0.11892,11,2,372.47,35,21.28,33,22.57,13,67.72,0.05946,33.86,1,199.00,10,1,0,0,0.00,12,510,177,125,0.70621,0,0,0.06782,280,3,1,1,0,0.00,0,1,1,199.00,36.24,330,0.00,0.00,0
2025-09-16,943337811298,商品,云米掌静脉智能门锁猫眼大屏人脸识别家用指纹锁电子锁蓝调2a pro,3053,40,172.15,0.0131,4.30,56.39,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,2,0,2,0.05,2,1,172.15,5,34.43,4,43.04,3,86.08,0.05,86.08,0,0.00,2,0,0,0,0.00,8,129,35,23,0.65714,0,0,0.04225,69,4,0,,0,0.00,0,0,,,0.00,93,0.00,0.00,0
2025-09-16,935542865349,商品,云米昆仑4Pro弱碱净水器矿物质水1400G家用厨下直饮母婴APP智控,6802,130,500.44,0.01911,3.85,73.57,0.00,0,0.00,0,0.00,0,0.00,299.00,299.00,1,0,1,0.00769,0.60,500.44,14,14,0,0.10769,11,1,500.44,26,19.25,25,20.02,12,45.49,0.08462,35.75,2,7421.00,11,0,0,0,0.00,7,298,114,70,0.61404,0,0,0.04381,152,3,1,1,0,0.00,0,1,1,299.00,107.36,248,0.00,0.00,0
2025-09-16,928309516277,商品,云米鲲鹏Pro抽油烟机28m?大吸力厨房顶吸式家用新款以旧换新补贴,15362,142,298.94,0.00924,2.11,19.46,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,7,3,4,0.0493,2,0,,9,33.22,9,33.22,2,149.47,0.01408,42.71,0,0.00,2,0,0,0,0.00,4,383,140,109,0.77857,0,0,0.02493,170,3,0,,0,0.00,0,0,,,0.00,125,0.00,0.00,0
2025-09-16,920312446415,商品,云米指纹锁电子锁密码锁智能门锁门蓝调3A旗舰店已接入米家app,198,2,1.86,0.0101,0.93,9.39,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,2,2,2,1,0,0,0.0101,0,1,0,,0,0.00,0,0,,,0.00,1,0.00,0.00,0
